SPEC程序,运行时间/秒,分值,运行时间/秒1,分值1
164.gzip,503,279,323,433
175.vpr,389,360,222,632
176.gcc,206,533,110,1003
181.mcf,480,375,195,925
186.crafty,166,604,122,822
197.parser,707,254,266,676
252.eon,159,815,141,924
253.perlbmk,418,431,279,644
254.gap,338,325,155,711
255.vortex,291,652,125,1520
256.bzip2,383,391,285,527
300.twolf,421,712,364,824
SPEC_INT2000,,447,,764
168.wupwise,338,473,123,1296
171.swim,1299,239,324,957
172.mgrid,1045,172,169,1062
173.applu,900,233,197,1067
177.mesa,244,574,156,896
178.galgel,507,572,143,2022
179.art,173,1504,97,2686
183.equake,457,285,96,1353
187.facerec,288,659,146,1306
188.ammp,538,409,274,803
189.lucas,716,279,181,1104
191.fma3d,550,382,203,1034
200.sixtrack,553,199,276,399
301.apsi,1159,224,235,1108
SPEC_FP2000,,367,,1120
