SPEC CPU2006,loongson 3A5000,zen1 r3-1200,skylake i3 9100f,zen1/3A5000,skylake/3A5000
400.perlbench,1285.22,1330.7,1507.39,103.50%,117.30%
401.bzip2,687.2,679.21,700.24,98.80%,101.90%
403.gcc,528.81,625.04,726.01,118.20%,137.30%
429.mcf,259.12,186.98,251.16,72.20%,96.90%
445.gobmk,666.08,495.13,533.88,74.30%,80.20%
456.hmmer,561.53,553.7,645.47,98.60%,114.90%
458.sjeng,896.9,662.04,840.26,73.80%,93.70%
462.libquantum,1109.34,1225.5,1380.07,110.50%,124.40%
464.h264ref,370.65,468.73,483.39,126.50%,130.40%
471.omnetpp,333.52,356.34,442.49,106.80%,132.70%
473.astar,512.46,354.04,349.51,69.10%,68.20%
483.xalancbmk,1045.16,963.92,1362.81,92.20%,130.40%
SPECint_2006,615.94,576.2,667.59,93.50%,108.40%
410.bwaves,106.04,112.99,94.37,106.60%,89.00%
416.gamess,489.11,592.77,616.36,121.20%,126.00%
433.milc,11.81,48.688,43.09,412.30%,364.90%
434.zeusmp,171.28,101.7,88.22,59.40%,51.50%
435.gromacs,130.19,174.94,158.7,134.40%,121.90%
436.cactusADM,7.02,12.711,13.05,181.10%,185.90%
437.leslie3d,134.2,300.84,208.51,224.20%,155.40%
444.namd,239.86,234.96,260.51,98.00%,108.60%
447.dealII,659.59,854.76,830.83,129.60%,126.00%
450.soplex,386.41,462.08,514.6,119.60%,133.20%
453.povray,738.4,889.04,1060.83,120.40%,143.70%
454.calculix,233.14,351.24,352.48,150.70%,151.20%
459.GemsFDTD,70.57,136.25,111.24,193.10%,157.60%
465.tonto,409.28,426.25,513.51,104.10%,125.50%
470.lbm,24.27,57.785,63.32,238.10%,260.90%
481.wrf,323.44,460.5,504.5,142.40%,156.00%
482.sphinx3,420.3,432.66,546.2,102.90%,130.00%
SPECfp_2006,152.4,214.47,213.45,140.70%,140.10%
