指令,指令功能
ADD.W,字加
ADDI.W,字加立即数
SUB.W,字减
ADD.D,双字加
ADDI.D,双字加立即数
SUB.D,双字减
SLT,有符号数比较小于置1
SLTI,有符号数立即数比较小于置1
SLTU,无符号数比较小于置1
SLTUI,无符号数立即数比较小于置1
AND,与
OR,或
XOR,异或
NOR,或非
ANDI,与立即数
ORI,或立即数
XORI,异或立即数
LU12I.W,加载20位立即数到高位
SLL.W,字逻辑左移变量位
SRL.W,字逻辑右移变量位
SRA.W,字算术右移变量位
SLLI.W,字逻辑左移常量位
SRLI.W,字逻辑右移常量位
SRAI.W,字算术右移常量位
SLL.D,双字逻辑左移变量位
SRL.D,双字逻辑右移变量位
SRA.D,双字算术右移变量位
SLLI.D,双字逻辑左移常量位
SRLI.D,双字逻辑右移常量位
SRAI.D,双字算术右移常量位
MUL.W,字乘取低半部分
MULH.W,有符号字乘取高半部分
MULH.WU,无符号字乘取高半部分
MUL.D,双字乘取低半部分
MULH.D,有符号双字乘取高半部分
MULH.DU,无符号双字乘取高半部分
DIV.W,有符号字除取商
DIV.WU,无符号字除取商
MOD.W,有符号字除取余
MOD.WU,无符号字除取余
DIV.D,有符号双字除取商
DIV.DU,无符号双字除取商
MOD.D,有符号双字除取余
MOD.DU,无符号双字除取余
