异常代号,Ecode,Esubcode,异常说明,所属异常类别
PIL,0x1,,load操作页无效异常,地址转换异常
PIS,0x2,,store操作页无效异常,地址转换异常
PIF,0x3,,取指操作页无效异常,地址转换异常
PME,0x4,,页修改异常,地址转换异常
PNR,0x5,,页不可读异常,地址转换异常
PNX,0x6,,页不可执行异常,地址转换异常
PPI,0x7,,页权限等级不合规异常,地址转换异常
ADEF,0x8,0x0,取指地址错异常,指令执行中的错误
ADEM,0x8,0x1,访存指令地址错异常,指令执行中的错误
ALE,0x9,,地址非对齐异常,指令执行中的错误
BCE,0xA,,边界约束检查错异常,指令执行中的错误
SYS,0xB,,系统调用异常,系统调用和陷入
BRK,0xC,,断点异常,系统调用和陷入
INE,0xD,,指令不存在异常,指令执行中的错误
IPE,0xE,,指令权限等级错异常,指令执行中的错误
FPD,0xF,,浮点指令未使能异常,系统调用和陷入
SXD,0x10,,128位向量扩展指令未使能异常,系统调用和陷入
ASXD,0x11,,256位向量扩展指令未使能异常,系统调用和陷入
FPE,0x12,0x0,基础浮点指令异常,需要软件修正的运算
VFPE,0x12,0x1,向量浮点指令异常,需要软件修正的运算
WPEF,0x13,0x0,取指监测点异常,系统调用和陷入
WPEM,0x13,0x1,load/store操作监测点异常,系统调用和陷入
INT,,,中断,外部事件
TLBR,,,TLB重填异常,地址转换异常
MERR,,,机器错误异常,数据完整性问题
